release_year,titles,free_share,median_price_usd,mean_price_usd
2006,41,0.024,4.99,7.86
2007,78,0.179,3.37,5.36
2008,92,0.185,3.99,6.94
2009,159,0.132,4.99,7.1
2010,128,0.109,4.99,7.58
2011,164,0.14,4.99,7.91
2012,239,0.163,4.99,6.99
2013,327,0.119,4.99,8.71
2014,655,0.163,4.99,8.11
2015,768,0.254,4.99,7.86
2016,942,0.224,3.99,7.51
2017,829,0.279,4.99,9.61
2018,727,0.304,7.99,11.8
2019,694,0.317,8.99,12.45
2020,871,0.317,7.49,12.43
2021,837,0.204,6.99,10.69
2022,671,0.124,8.99,13.46
2023,699,0.099,8.99,13.32
2024,685,0.077,9.99,14.82
2025,266,0.038,13.87,17.13
2026,53,0.075,17.99,18.55
